Material,Categoría de impacto,Abreviación,Unidad,A1-A3,A1,A2,A3
Panel metálico con aislamiento térmico para techos marca Ternium Multytecho,Potencial de escasez de agua,EA,m3 eq,27.71,24.2,0.00763,3.5
Panel metálico con aislamiento térmico para techos marca Ternium Multytecho,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Panel metálico con aislamiento térmico para techos marca Ternium Multytecho,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Panel metálico con aislamiento térmico para techos marca Ternium Multytecho,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico con aislamiento térmico para techos marca Ternium Multytecho,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Panel metálico con aislamiento térmico para techos marca Ternium Multytecho,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico con aislamiento térmico para techos marca Ternium Multytecho,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico con aislamiento térmico para muros marca Ternium Multymuro,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00192,0.000000378,0.000000258
Panel metálico con aislamiento térmico para muros marca Ternium Multymuro,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,547.00,515,2,30
Panel metálico con aislamiento térmico para muros marca Ternium Multymuro,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,46.90,45.5,0.1,1.3
Panel metálico con aislamiento térmico para muros marca Ternium Multymuro,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.00197,2.27E-08,7.41E-08
Panel metálico con aislamiento térmico para muros marca Ternium Multymuro,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.01,0.00905,0.0000219,0.000234
Panel metálico con aislamiento térmico para muros marca Ternium Multymuro,Potencial de Acidificación,PA,kg SO2 eq,0.17,0.17,0.000504,0.0041
Panel metálico con aislamiento térmico para muros marca Ternium Multymuro,Potencial de Eutrofización,PE,kg PO4 eq,0.03,0.03,0.000113,0.000469
Panel metálico con aislamiento térmico para muros marca Ternium Multymuro,Potencial de escasez de agua,EA,m3 eq,27.71,24.2,0.00763,3.5
Panel metálico con aislamiento térmico para muros marca Ternium Multymuro,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Panel metálico con aislamiento térmico para muros marca Ternium Multymuro,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Panel metálico con aislamiento térmico para muros marca Ternium Multymuro,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico con aislamiento térmico para muros marca Ternium Multymuro,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Panel metálico con aislamiento térmico para muros marca Ternium Multymuro,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico con aislamiento térmico para muros marca Ternium Multymuro,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico con aislamiento térmico para techos marca Ternium Econotecho,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00192,0.000000378,0.000000258
Panel metálico con aislamiento térmico para techos marca Ternium Econotecho,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,547.00,515,2,30
Panel metálico con aislamiento térmico para techos marca Ternium Econotecho,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,46.90,45.5,0.1,1.3
Panel metálico con aislamiento térmico para techos marca Ternium Econotecho,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.00197,2.27E-08,7.41E-08
Panel metálico con aislamiento térmico para techos marca Ternium Econotecho,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.01,0.00905,0.0000219,0.000234
Panel metálico con aislamiento térmico para techos marca Ternium Econotecho,Potencial de Acidificación,PA,kg SO2 eq,0.17,0.17,0.000504,0.0041
Panel metálico con aislamiento térmico para techos marca Ternium Econotecho,Potencial de Eutrofización,PE,kg PO4 eq,0.03,0.03,0.000113,0.000469
Panel metálico con aislamiento térmico para techos marca Ternium Econotecho,Potencial de escasez de agua,EA,m3 eq,27.71,24.2,0.00763,3.5
Panel metálico con aislamiento térmico para techos marca Ternium Econotecho,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Panel metálico con aislamiento térmico para techos marca Ternium Econotecho,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Panel metálico con aislamiento térmico para techos marca Ternium Econotecho,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico con aislamiento térmico para techos marca Ternium Econotecho,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Panel metálico con aislamiento térmico para techos marca Ternium Econotecho,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico con aislamiento térmico para techos marca Ternium Econotecho,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico con aislamiento térmico para muros marca Ternium Economuro,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00192,0.000000378,0.000000258
Panel metálico con aislamiento térmico para muros marca Ternium Economuro,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,547.00,515,2,30
Panel metálico con aislamiento térmico para muros marca Ternium Economuro,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,46.90,45.5,0.1,1.3
Panel metálico con aislamiento térmico para muros marca Ternium Economuro,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.00197,2.27E-08,7.41E-08
Panel metálico con aislamiento térmico para muros marca Ternium Economuro,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.01,0.00905,0.0000219,0.000234
Panel metálico con aislamiento térmico para muros marca Ternium Economuro,Potencial de Acidificación,PA,kg SO2 eq,0.17,0.17,0.000504,0.0041
Panel metálico con aislamiento térmico para muros marca Ternium Economuro,Potencial de Eutrofización,PE,kg PO4 eq,0.03,0.03,0.000113,0.000469
Panel metálico con aislamiento térmico para muros marca Ternium Economuro,Potencial de escasez de agua,EA,m3 eq,27.71,24.2,0.00763,3.5
Panel metálico con aislamiento térmico para muros marca Ternium Economuro,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Panel metálico con aislamiento térmico para muros marca Ternium Economuro,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Panel metálico con aislamiento térmico para muros marca Ternium Economuro,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico con aislamiento térmico para muros marca Ternium Economuro,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Panel metálico con aislamiento térmico para muros marca Ternium Economuro,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico con aislamiento térmico para muros marca Ternium Economuro,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico con aislamiento térmico marca Ternium Arkirib,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00192,0.000000378,0.000000258
Panel metálico con aislamiento térmico marca Ternium Arkirib,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,547.00,515,2,30
Panel metálico con aislamiento térmico marca Ternium Arkirib,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,46.90,45.5,0.1,1.3
Panel metálico con aislamiento térmico marca Ternium Arkirib,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.00197,2.27E-08,7.41E-08
Panel metálico con aislamiento térmico marca Ternium Arkirib,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.01,0.00905,0.0000219,0.000234
Panel metálico con aislamiento térmico marca Ternium Arkirib,Potencial de Acidificación,PA,kg SO2 eq,0.17,0.17,0.000504,0.0041
Panel metálico con aislamiento térmico marca Ternium Arkirib,Potencial de Eutrofización,PE,kg PO4 eq,0.03,0.03,0.000113,0.000469
Panel metálico con aislamiento térmico marca Ternium Arkirib,Potencial de escasez de agua,EA,m3 eq,27.71,24.2,0.00763,3.5
Panel metálico con aislamiento térmico marca Ternium Arkirib,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Panel metálico con aislamiento térmico marca Ternium Arkirib,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Panel metálico con aislamiento térmico marca Ternium Arkirib,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico con aislamiento térmico marca Ternium Arkirib,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Panel metálico con aislamiento térmico marca Ternium Arkirib,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico con aislamiento térmico marca Ternium Arkirib,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico con aislamiento térmico para techos marca Ternium Galvatecho,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00192,0.000000378,0.000000258
Panel metálico con aislamiento térmico para techos marca Ternium Galvatecho,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,547.00,515,2,30
Panel metálico con aislamiento térmico para techos marca Ternium Galvatecho,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,46.90,45.5,0.1,1.3
Panel metálico con aislamiento térmico para techos marca Ternium Galvatecho,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.00197,2.27E-08,7.41E-08
Panel metálico con aislamiento térmico para techos marca Ternium Galvatecho,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.01,0.00905,0.0000219,0.000234
Panel metálico con aislamiento térmico para techos marca Ternium Galvatecho,Potencial de Acidificación,PA,kg SO2 eq,0.17,0.17,0.000504,0.0041
Panel metálico con aislamiento térmico para techos marca Ternium Galvatecho,Potencial de Eutrofización,PE,kg PO4 eq,0.03,0.03,0.000113,0.000469
Panel metálico con aislamiento térmico para techos marca Ternium Galvatecho,Potencial de escasez de agua,EA,m3 eq,27.71,24.2,0.00763,3.5
Panel metálico con aislamiento térmico para techos marca Ternium Galvatecho,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Panel metálico con aislamiento térmico para techos marca Ternium Galvatecho,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Panel metálico con aislamiento térmico para techos marca Ternium Galvatecho,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico con aislamiento térmico para techos marca Ternium Galvatecho,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Panel metálico con aislamiento térmico para techos marca Ternium Galvatecho,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico con aislamiento térmico para techos marca Ternium Galvatecho,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Lámina de acero corrugada marca Ternium TRD 91.5 Roof Deck,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.21,0.214,0.000196,0.0003
Lámina de acero corrugada marca Ternium TRD 91.5 Roof Deck,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,29798.00,24474,1624,3700
Lámina de acero corrugada marca Ternium TRD 91.5 Roof Deck,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1621.00,1099,103,419
Lámina de acero corrugada marca Ternium TRD 91.5 Roof Deck,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000181,0.0000183,0.0000436
Lámina de acero corrugada marca Ternium TRD 91.5 Roof Deck,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.66,0.6,0.02,0.04
Lámina de acero corrugada marca Ternium TRD 91.5 Roof Deck,Potencial de Acidificación,PA,kg SO2 eq,10.00,8.5,0.5,1
Lámina de acero corrugada marca Ternium TRD 91.5 Roof Deck,Potencial de Eutrofización,PE,kg PO4 eq,1.50,1.2,0.1,0.2
Lámina de acero corrugada marca Ternium TRD 91.5 Roof Deck,Potencial de escasez de agua,EA,m3 eq,527.00,60,7,460
Lámina de acero corrugada marca Ternium TRD 91.5 Roof Deck,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Lámina de acero corrugada marca Ternium TRD 91.5 Roof Deck,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Lámina de acero corrugada marca Ternium TRD 91.5 Roof Deck,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Lámina de acero corrugada marca Ternium TRD 91.5 Roof Deck,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Lámina de acero corrugada marca Ternium TRD 91.5 Roof Deck,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Lámina de acero corrugada marca Ternium TRD 91.5 Roof Deck,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Lámina de acero en rollo y chapa de acero galvanizado marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.20,0.2,0.000201,0.000308
Lámina de acero en rollo y chapa de acero galvanizado marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,28786.00,23386,1650,3750
Lámina de acero en rollo y chapa de acero galvanizado marca TERNIUM,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1554.00,1048,105,401
Lámina de acero en rollo y chapa de acero galvanizado marca TERNIUM,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000173,0.0000186,0.0000437
Lámina de acero en rollo y chapa de acero galvanizado marca TERNIUM,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.64,0.58,0.02,0.04
Lámina de acero en rollo y chapa de acero galvanizado marca TERNIUM,Potencial de Acidificación,PA,kg SO2 eq,9.70,8.2,0.5,1
Lámina de acero en rollo y chapa de acero galvanizado marca TERNIUM,Potencial de Eutrofización,PE,kg PO4 eq,1.47,1.12,0.12,0.23
Lámina de acero en rollo y chapa de acero galvanizado marca TERNIUM,Potencial de escasez de agua,EA,m3 eq,390.00,29,7,354
Lámina de acero en rollo y chapa de acero galvanizado marca TERNIUM,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Lámina de acero en rollo y chapa de acero galvanizado marca TERNIUM,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Lámina de acero en rollo y chapa de acero galvanizado marca TERNIUM,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Lámina de acero en rollo y chapa de acero galvanizado marca TERNIUM,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Lámina de acero en rollo y chapa de acero galvanizado marca TERNIUM,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Lámina de acero en rollo y chapa de acero galvanizado marca TERNIUM,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Lámina de acero laminado a presión galvanizado (corrugado y rectangular) marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.20,0.2,0.000201,0.000308
Lámina de acero laminado a presión galvanizado (corrugado y rectangular) marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,28786.00,23386,1650,3750
Lámina de acero laminado a presión galvanizado (corrugado y rectangular) marca TERNIUM,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1554.00,1048,105,401
Lámina de acero laminado a presión galvanizado (corrugado y rectangular) marca TERNIUM,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000173,0.0000186,0.0000437
Lámina de acero laminado a presión galvanizado (corrugado y rectangular) marca TERNIUM,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.64,0.58,0.02,0.04
Lámina de acero laminado a presión galvanizado (corrugado y rectangular) marca TERNIUM,Potencial de Acidificación,PA,kg SO2 eq,9.70,8.2,0.5,1
Lámina de acero laminado a presión galvanizado (corrugado y rectangular) marca TERNIUM,Potencial de Eutrofización,PE,kg PO4 eq,1.47,1.12,0.12,0.23
Lámina de acero laminado a presión galvanizado (corrugado y rectangular) marca TERNIUM,Potencial de escasez de agua,EA,m3 eq,390.00,29,7,354
Lámina de acero laminado a presión galvanizado (corrugado y rectangular) marca TERNIUM,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Lámina de acero laminado a presión galvanizado (corrugado y rectangular) marca TERNIUM,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Lámina de acero laminado a presión galvanizado (corrugado y rectangular) marca TERNIUM,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Lámina de acero laminado a presión galvanizado (corrugado y rectangular) marca TERNIUM,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Lámina de acero laminado a presión galvanizado (corrugado y rectangular) marca TERNIUM,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Lámina de acero laminado a presión galvanizado (corrugado y rectangular) marca TERNIUM,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Lámina de acero en rollo y chapa de acero pintado (Ternium Pintro) marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.20,0.2,0.000218,0.000307
Lámina de acero en rollo y chapa de acero pintado (Ternium Pintro) marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,34320.00,28247,1718,4355
Lámina de acero en rollo y chapa de acero pintado (Ternium Pintro) marca TERNIUM,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1882.00,1250,110,522
Lámina de acero en rollo y chapa de acero pintado (Ternium Pintro) marca TERNIUM,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000211,0.0000193,0.0000512
Lámina de acero en rollo y chapa de acero pintado (Ternium Pintro) marca TERNIUM,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.75,0.68,0.02,0.05
Lámina de acero en rollo y chapa de acero pintado (Ternium Pintro) marca TERNIUM,Potencial de Acidificación,PA,kg SO2 eq,11.00,9.4,0.5,1.1
Lámina de acero en rollo y chapa de acero pintado (Ternium Pintro) marca TERNIUM,Potencial de Eutrofización,PE,kg PO4 eq,1.80,1.4,0.1,0.3
Lámina de acero en rollo y chapa de acero pintado (Ternium Pintro) marca TERNIUM,Potencial de escasez de agua,EA,m3 eq,610.00,174,7,429
Lámina de acero en rollo y chapa de acero pintado (Ternium Pintro) marca TERNIUM,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Lámina de acero en rollo y chapa de acero pintado (Ternium Pintro) marca TERNIUM,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Lámina de acero en rollo y chapa de acero pintado (Ternium Pintro) marca TERNIUM,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Lámina de acero en rollo y chapa de acero pintado (Ternium Pintro) marca TERNIUM,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Lámina de acero en rollo y chapa de acero pintado (Ternium Pintro) marca TERNIUM,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Lámina de acero en rollo y chapa de acero pintado (Ternium Pintro) marca TERNIUM,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Lámina de acero pintada (corrugado y rectangular) marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.20,0.2,0.000218,0.000307
Lámina de acero pintada (corrugado y rectangular) marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,34320.00,28247,1718,4355
Lámina de acero pintada (corrugado y rectangular) marca TERNIUM,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1882.00,1250,110,522
Lámina de acero pintada (corrugado y rectangular) marca TERNIUM,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000211,0.0000193,0.0000512
Lámina de acero pintada (corrugado y rectangular) marca TERNIUM,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.75,0.68,0.02,0.05
Lámina de acero pintada (corrugado y rectangular) marca TERNIUM,Potencial de Acidificación,PA,kg SO2 eq,11.00,9.4,0.5,1.1
Lámina de acero pintada (corrugado y rectangular) marca TERNIUM,Potencial de Eutrofización,PE,kg PO4 eq,1.80,1.4,0.1,0.3
Lámina de acero pintada (corrugado y rectangular) marca TERNIUM,Potencial de escasez de agua,EA,m3 eq,610.00,174,7,429
Lámina de acero pintada (corrugado y rectangular) marca TERNIUM,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Lámina de acero pintada (corrugado y rectangular) marca TERNIUM,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Lámina de acero pintada (corrugado y rectangular) marca TERNIUM,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Lámina de acero pintada (corrugado y rectangular) marca TERNIUM,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Lámina de acero pintada (corrugado y rectangular) marca TERNIUM,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Lámina de acero pintada (corrugado y rectangular) marca TERNIUM,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Columnas y vigas de acero como estructura principal marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.04,0.0407,0.000188,0.000187
Columnas y vigas de acero como estructura principal marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,28626.00,23296,1661,3669
Columnas y vigas de acero como estructura principal marca TERNIUM,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1482.00,1085,105,292
Columnas y vigas de acero como estructura principal marca TERNIUM,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000173,0.0000187,0.0000244
Columnas y vigas de acero como estructura principal marca TERNIUM,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.92,0.85,0.02,0.05
Columnas y vigas de acero como estructura principal marca TERNIUM,Potencial de Acidificación,PA,kg SO2 eq,12.30,10.9,0.5,0.9
Columnas y vigas de acero como estructura principal marca TERNIUM,Potencial de Eutrofización,PE,kg PO4 eq,2.80,2.5,0.1,0.2
Columnas y vigas de acero como estructura principal marca TERNIUM,Potencial de escasez de agua,EA,m3 eq,495.00,178,7,310
Columnas y vigas de acero como estructura principal marca TERNIUM,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Columnas y vigas de acero como estructura principal marca TERNIUM,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Columnas y vigas de acero como estructura principal marca TERNIUM,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Columnas y vigas de acero como estructura principal marca TERNIUM,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Columnas y vigas de acero como estructura principal marca TERNIUM,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Columnas y vigas de acero como estructura principal marca TERNIUM,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Estructura de acero tipo nave industrial (Wide Bay) marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.04,0.0408,0.00018,0.0000428
Estructura de acero tipo nave industrial (Wide Bay) marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,30930.00,24596,1584,4750
Estructura de acero tipo nave industrial (Wide Bay) marca TERNIUM,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1558.00,1179,101,278
Estructura de acero tipo nave industrial (Wide Bay) marca TERNIUM,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000182,0.0000178,0.0000211
Estructura de acero tipo nave industrial (Wide Bay) marca TERNIUM,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,1.04,0.98,0.02,0.04
Estructura de acero tipo nave industrial (Wide Bay) marca TERNIUM,Potencial de Acidificación,PA,kg SO2 eq,13.10,11.8,0.5,0.8
Estructura de acero tipo nave industrial (Wide Bay) marca TERNIUM,Potencial de Eutrofización,PE,kg PO4 eq,2.80,2.6,0.1,0.1
Estructura de acero tipo nave industrial (Wide Bay) marca TERNIUM,Potencial de escasez de agua,EA,m3 eq,529.00,238,7,284
Estructura de acero tipo nave industrial (Wide Bay) marca TERNIUM,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Estructura de acero tipo nave industrial (Wide Bay) marca TERNIUM,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Estructura de acero tipo nave industrial (Wide Bay) marca TERNIUM,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Estructura de acero tipo nave industrial (Wide Bay) marca TERNIUM,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Estructura de acero tipo nave industrial (Wide Bay) marca TERNIUM,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Estructura de acero tipo nave industrial (Wide Bay) marca TERNIUM,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
"Postes de acero tipo ""Studs"" marca TERNIUM",Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.06,0.0554,0.000185,0.000122
"Postes de acero tipo ""Studs"" marca TERNIUM",Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,26682.00,21831,1594,3257
"Postes de acero tipo ""Studs"" marca TERNIUM",Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1342.00,955,101,286
"Postes de acero tipo ""Studs"" marca TERNIUM",Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000164,0.0000179,0.0000293
"Postes de acero tipo ""Studs"" marca TERNIUM",Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.63,0.55,0.02,0.06
"Postes de acero tipo ""Studs"" marca TERNIUM",Potencial de Acidificación,PA,kg SO2 eq,8.50,7.2,0.5,0.8
"Postes de acero tipo ""Studs"" marca TERNIUM",Potencial de Eutrofización,PE,kg PO4 eq,1.00,0.7,0.1,0.2
"Postes de acero tipo ""Studs"" marca TERNIUM",Potencial de escasez de agua,EA,m3 eq,323.00,27,7,289
"Postes de acero tipo ""Studs"" marca TERNIUM",Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
"Postes de acero tipo ""Studs"" marca TERNIUM",Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
"Postes de acero tipo ""Studs"" marca TERNIUM",Human toxicity,,"kg 1,4-DB eq",0.00,,,
"Postes de acero tipo ""Studs"" marca TERNIUM",Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
"Postes de acero tipo ""Studs"" marca TERNIUM",Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
"Postes de acero tipo ""Studs"" marca TERNIUM",Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de acero RIB marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.20,0.199,0.000226,0.00018
