Material,Categoría de impacto,Abreviación,Unidad,A1-A3,A1,A2,A3
Tubo de plástico_HDPE pipe - 800 mm inner dia.; 47.06 mm thickness,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,318.00,,,
Película de polietileno_High-density polyethylene (HDPE) film,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,6.40,,,
Tubo de polietileno_High-density polyethylene (HDPE) pipe,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,5.60,,,
Película_LDPE film - 100 μm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.58,,,
Película_LDPE film - 200 μm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1.20,,,
Manguera de polietileno_LDPE pipe - 13 mm inner dia.; 3.95 mm thickness,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.51,,,
Manguera de polietileno_LDPE pipe - 19 mm inner dia.; 4.4 mm thickness,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.80,,,
Manguera de polietileno_LDPE pipe - 25 mm inner dia.; 5.2 mm thickness,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1.20,,,
Manguera de polietileno_LDPE pipe - 32 mm inner dia.; 6.7 mm thickness,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,2.00,,,
Película de polietileno_Low-density polyethylene (LDPE) film,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,6.40,,,
Tubo de polietileno_Low-density polyethylene (LDPE) pipe,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,6.00,,,
Nylon 66,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,22.20,,,
Nylon 66 sheet - 1.5 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,37.90,,,
Nylon 66 sheet - 3 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,75.80,,,
Nylon 66 sheet - 5 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,126.00,,,
Panel plástico_ABS panel - 2mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,34.30,,,
Panel plástico_ABS panel - 3mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,51.40,,,
Tubo de plástico_ABS pipe - 21.4 mm outer dia.; 2.1 mm thick,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,2.20,,,
Tubo de plástico_ABS pipe - 48.3 mm outer dia.; 3.6 mm thick,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,8.70,,,
Tubo de plástico_ABS pipe - 168.3 mm outer dia.; 7.7 mm thick,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,66.60,,,
Plástico_Acrylonitrile butadiene styrene (ABS),Potencial de Calentamiento Global,PCG 100,kg CO2 eq,16.00,,,
Película_ETFE film - 25.4 μm (0.001”),Potencial de Calentamiento Global,PCG 100,kg CO2 eq,20.30,,,
Película_ETFE film - 50.8 μm (0.002”),Potencial de Calentamiento Global,PCG 100,kg CO2 eq,40.50,,,
Película_ETFE film - 127 μm (0.005”),Potencial de Calentamiento Global,PCG 100,kg CO2 eq,101.00,,,
Plástico_Ethylene tetrafluoroethylene (ETFE),Potencial de Calentamiento Global,PCG 100,kg CO2 eq,798.00,,,
Cristal reforzado con plástico_Glass reinforced plastic (GRP),Potencial de Calentamiento Global,PCG 100,kg CO2 eq,18.80,,,
Panel de plástico_GRP panel - 10 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,254.00,,,
Panel de plástico_GRP panel - 20 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,509.00,,,
Panel de plástico_GRP panel - 50 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1271.00,,,
Linóleo_Linoleum,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,4.40,,,
Hoja de linóleo_Linoleum sheet - 2 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,10.60,,,
Hoja de linóleo_Linoleum sheet - 2.5 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,13.30,,,
Hoja de linóleo_Linoleum sheet - 3.2 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,17.00,,,
